Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Caris LeVert,30.0,SG,51.0,25.0,0.474,0.392,0.568,0.713,0.6,2.5,3.1,3.4,0.9,0.5,1.2,1.5,11.9,ATL,16615384,0,0,0,0,0,16615384,1
Luguentz Dort,25.0,SF,61.0,29.2,0.424,0.398,0.561,0.75,1.4,2.8,4.1,1.6,1.1,0.6,0.7,3.0,9.9,OKC,16500000,17722222,17722222,0,0,0,34222222,3
Tim Hardaway Jr.,32.0,SG,63.0,28.2,0.401,0.359,0.522,0.826,0.3,2.2,2.5,1.7,0.5,0.1,0.7,1.3,10.4,DET,16193183,0,0,0,0,0,16193183,1
Klay Thompson,34.0,SF,59.0,27.6,0.417,0.4,0.544,0.903,0.7,2.8,3.5,2.1,0.8,0.5,1.3,1.2,14.5,DAL,15873016,16666667,17460317,0,0,0,50000000,3
Deni Avdija,24.0,SF,61.0,29.0,0.466,0.347,0.537,0.768,1.3,5.4,6.7,3.6,0.9,0.5,2.6,2.4,15.3,POR,15625000,14375000,13125000,11875000,0,0,55000000,4
Grayson Allen,29.0,SG,53.0,24.8,0.45,0.434,0.611,0.811,0.5,2.6,3.1,2.2,0.9,0.4,1.1,1.5,10.7,PHO,15625000,16875000,18125000,19375000,0,0,50625000,4
P.J. Washington,26.0,PF,47.0,32.2,0.432,0.374,0.5,0.74,1.6,6.5,8.1,2.3,1.2,1.1,1.9,2.4,14.0,DAL,15500000,14152174,0,0,0,0,29652174,2
Max Strus,28.0,SF,36.0,25.1,0.415,0.376,0.567,0.9,1.0,3.4,4.3,3.1,0.6,0.3,1.0,2.1,9.0,CLE,15212068,15936452,16660836,0,0,0,47809356,3
Isaiah Stewart,23.0,C,61.0,19.8,0.54,0.279,0.563,0.756,1.9,3.7,5.6,1.7,0.3,1.4,1.0,2.5,5.8,DET,15000000,15000000,15000000,15000000,0,0,45000000,4
Dorian Finney-Smith,31.0,PF,48.0,28.2,0.438,0.388,0.573,0.667,1.4,2.6,4.0,1.3,0.9,0.3,0.9,2.3,8.2,LAL,14924167,15378480,0,0,0,0,14924167,2
Mitchell Robinson,26.0,C,6.0,14.8,0.688,0.0,0.688,0.8,2.3,1.8,4.2,0.5,1.2,0.5,0.8,2.0,4.3,NYK,14318182,12954546,0,0,0,0,27272728,2
Jordan Clarkson,32.0,SG,33.0,26.5,0.405,0.366,0.491,0.805,0.7,2.5,3.2,3.8,0.9,0.2,2.2,1.5,16.5,UTA,14092577,14285714,0,0,0,0,28378291,2
Onyeka Okongwu,24.0,C,59.0,26.5,0.571,0.299,0.599,0.732,3.1,5.4,8.4,2.2,0.8,0.9,1.1,2.5,12.6,ATL,14000000,15000000,16120000,16880000,0,0,62000000,4
Naz Reid,25.0,C,66.0,28.0,0.465,0.392,0.563,0.792,1.1,5.0,6.1,2.2,0.7,1.0,1.3,2.5,14.8,MIN,13986432,15022464,0,0,0,0,13986432,2
Cade Cunningham,23.0,PG,62.0,35.3,0.462,0.352,0.514,0.862,0.8,5.3,6.0,9.3,1.0,0.8,4.5,2.8,25.9,DET,13940809,38661750,41754690,44847630,47940570,51033510,238178959,6
Daniel Gafford,26.0,C,51.0,21.9,0.699,0.0,0.699,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3,DAL,13394160,14386320,0,0,0,0,27780480,2
Grant Williams,26.0,PF,16.0,29.9,0.439,0.365,0.549,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,CHO,13025250,13645500,14265750,0,0,0,40936500,3
